age,arquivo_origem,available,cluster-ip,cpu_cores,external-ip,gates,ip,memory_bytes,momento,name,node,nominated,pod_name,port_s,readiness,ready,restarts,status,type,up-to-date
,sem_csmf_metrics.txt,,,192.168.10.16:56634,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:34298,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:38596,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:38604,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:43640,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:38618,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:43646,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:41748,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:41750,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:49888,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:41768,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:49892,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:34442,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:34452,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:35380,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:34460,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:35386,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:44482,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:44494,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:51630,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:44500,,,,-,initial,,,,INFO:,,,,,,,
