LAST SEEN   TYPE      REASON                            OBJECT                                         MESSAGE
56m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-54899977bc-8pfx8    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
58m         Normal    Scheduled                         pod/trisla-decision-engine-54899977bc-8pfx8    Successfully assigned trisla/trisla-decision-engine-54899977bc-8pfx8 to node1
58m         Normal    Started                           pod/trisla-decision-engine-54899977bc-8pfx8    Started container decision-engine
58m         Normal    Created                           pod/trisla-decision-engine-54899977bc-8pfx8    Created container decision-engine
58m         Normal    Pulled                            pod/trisla-decision-engine-54899977bc-8pfx8    Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.7.29" already present on machine
57m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled down replica set trisla-decision-engine-6fbb96f6bf to 0 from 1
57m         Normal    Killing                           pod/trisla-decision-engine-6fbb96f6bf-pkwpt    Stopping container decision-engine
57m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-6fbb96f6bf   Deleted pod: trisla-decision-engine-6fbb96f6bf-pkwpt
57m         Normal    Scheduled                         pod/curltest-decision5                         Successfully assigned trisla/curltest-decision5 to node2
60m         Normal    AddedInterface                    pod/curltest-decision5                         Add eth0 [10.233.75.6/32] from k8s-pod-network
56m         Normal    Pulling                           pod/curltest-kafka-test                        Pulling image "curlimages/curl"
56m         Normal    Created                           pod/curltest-kafka-test                        Created container curltest-kafka-test
56m         Normal    Started                           pod/curltest-kafka-test                        Started container curltest-kafka-test
56m         Normal    Pulled                            pod/curltest-kafka-test                        Successfully pulled image "curlimages/curl" in 1.43s (1.43s including waiting). Image size: 10767170 bytes.
56m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                      Scaled up replica set trisla-ml-nsmf-65d98c9cff to 1
36m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              (combined from similar events): Scaled down replica set trisla-decision-engine-c7894cf4c to 0 from 1
56m         Normal    SuccessfulCreate                  replicaset/trisla-ml-nsmf-65d98c9cff           Created pod: trisla-ml-nsmf-65d98c9cff-bxsj6
56m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-869f6896cd   Created pod: trisla-decision-engine-869f6896cd-bptzw
56m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-869f6896cd   Deleted pod: trisla-decision-engine-869f6896cd-bptzw
56m         Normal    Scheduled                         pod/trisla-decision-engine-758f674d75-56kph    Successfully assigned trisla/trisla-decision-engine-758f674d75-56kph to node1
56m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled up replica set trisla-decision-engine-869f6896cd to 1
56m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled down replica set trisla-decision-engine-869f6896cd to 0 from 1
56m         Normal    Scheduled                         pod/trisla-ml-nsmf-65d98c9cff-bxsj6            Successfully assigned trisla/trisla-ml-nsmf-65d98c9cff-bxsj6 to node1
