LAST SEEN   TYPE      REASON                            OBJECT                                        MESSAGE
19s         Normal    SuccessfulCreate                  replicaset/trisla-ml-nsmf-79f5c96dcd          Created pod: trisla-ml-nsmf-79f5c96dcd-tztxp
19s         Normal    Scheduled                         pod/trisla-ml-nsmf-79f5c96dcd-tztxp           Successfully assigned trisla/trisla-ml-nsmf-79f5c96dcd-tztxp to node1
19s         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                     Scaled up replica set trisla-ml-nsmf-79f5c96dcd to 1
18s         Normal    Started                           pod/trisla-ml-nsmf-79f5c96dcd-tztxp           Started container ml-nsmf
18s         Normal    Pulled                            pod/trisla-ml-nsmf-79f5c96dcd-tztxp           Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.29" already present on machine
18s         Normal    Created                           pod/trisla-ml-nsmf-79f5c96dcd-tztxp           Created container ml-nsmf
18s         Normal    AddedInterface                    pod/trisla-ml-nsmf-79f5c96dcd-tztxp           Add eth0 [10.233.102.158/32] from k8s-pod-network
17s         Normal    Started                           pod/trisla-ml-nsmf-599749957-pf9bq            Started container ml-nsmf
17s         Normal    Created                           pod/trisla-ml-nsmf-599749957-pf9bq            Created container ml-nsmf
17s         Normal    Pulled                            pod/trisla-ml-nsmf-599749957-pf9bq            Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.29" already present on machine
5s          Warning   BackOff                           pod/trisla-ml-nsmf-599749957-pf9bq            Back-off restarting failed container ml-nsmf in pod trisla-ml-nsmf-599749957-pf9bq_trisla(c197732e-4642-461c-92d8-40e8927ff68c)
5s          Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-599749957-pf9bq            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
4s          Normal    Killing                           pod/trisla-ml-nsmf-599749957-pf9bq            Stopping container trisla-ml-nsmf
4s          Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-79f5c96dcd-tztxp           Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
4s          Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                     Scaled down replica set trisla-ml-nsmf-599749957 to 0 from 1
4s          Normal    SuccessfulDelete                  replicaset/trisla-ml-nsmf-599749957           Deleted pod: trisla-ml-nsmf-599749957-pf9bq
